company_reg_number,number_of_accounts,current_acc_fraction,total_amount,pay_in_amount,pay_out_amount,rev_ratio,cost_ratio
20000000,1,0.811,1072364.031723414,438374.69600000005,431312.5337276888,0.5040601736066209,0.4959398263933791
20000001,1,0.783,451817.8335428967,181101.636,172671.7276640881,0.5119142778989944,0.4880857221010056
20000002,1,0.836,400981.6193492292,169933.71999999997,165286.9137759556,0.5069309668854545,0.4930690331145456
20000003,1,0.899,229387.17145590004,106795.806,99423.26113885414,0.5178755169525175,0.4821244830474825
20000004,1,0.477,774445.9831614321,186669.657,182741.0769680031,0.5053173604212827,0.4946826395787173
20000005,1,0.574,238813.50499148943,70379.862,66699.08986511495,0.5134257378131506,0.4865742621868494
20000006,1,0.691,288411.436,101472.659,97819.64327599996,0.5091649694501018,0.4908350305498981
20000007,1,0.778,735989.1105081083,288871.4,283728.1279753082,0.5044911598537971,0.4955088401462028
20000008,1,0.564,438190.0676401972,125165.13599999998,121974.06214907124,0.5064560253388132,0.4935439746611869
20000010,1,0.683,349703.319,124205.59900000002,114641.767877,0.5200208008320333,0.4799791991679667
20000011,1,0.704,431338.4202197896,154287.232,149375.01583473186,0.5080882892099606,0.4919117107900392
20000012,1,0.853,415458.2273813423,180982.716,173403.15195628503,0.5106939422943496,0.4893060577056505
20000013,1,0.52,568497.4869537982,150988.24,144630.45321597508,0.5107533571623294,0.4892466428376706
20000014,1,0.645,238436.7098411395,79939.36499999999,73852.31284753497,0.5197899269897411,0.4802100730102587
20000015,4,0.742,2873578.347536538,349204.1737757431,347609.16038488003,0.5011445055028865,0.4988554944971134
20000015,4,0.742,2873578.347536538,2354966.529199089,2344210.0622631605,0.5011445055028865,0.4988554944971134
20000015,4,0.742,2873578.347536538,-2597256.9298802423,-2585393.785353993,0.5011445055028865,0.4988554944971134
20000015,4,0.742,2873578.347536538,961624.1029054103,957231.820578064,0.5011445055028865,0.4988554944971134
20000016,1,0.81,306039.5816723082,127474.56,120417.50115456966,0.5142341364474556,0.4857658635525443
20000017,1,0.515,456432.2707277002,119600.51,115462.1094247656,0.5088027619733024,0.4911972380266975
20000018,1,0.466,412518.72884468734,98358.154,93875.57364162429,0.5116591932471196,0.4883408067528803
20000019,1,0.656,800728.128,235656.192,289621.459968,0.4486316733961417,0.5513683266038583
20000020,1,0.606,429738.85842090845,131789.85,128631.89820307052,0.5060631491392704,0.4939368508607296
20000021,1,0.889,411758.7355721077,186929.14100000003,179124.37492360375,0.5106606899495334,0.4893393100504666
20000022,1,0.48,377850.83725087775,92751.36,88617.04188042134,0.5113975700196788,0.4886024299803213
20000023,2,0.758,1206551.687,58158.53665652405,110094.1098908,0.3456619426201175,0.6543380573798825
20000023,2,0.758,1206551.687,257972.185343476,488341.3468552,0.3456619426201175,0.6543380573798825
20000024,1,0.619,324018.02667714143,101824.262,98742.89651315055,0.507681630207289,0.492318369792711
20000025,1,0.794,248926.8083007445,101431.118,96216.76779079116,0.5131910093253621,0.4868089906746379
